Product Title,Star,Rating,Review,Processor,RAM,ROM,Screen Size,Current Price,MRP,Image Link
RedmiBook Pro Core i5 11th Gen,4.2,"3,166",389,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹42,990","₹59,999",https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,"3,714",353,Intel Core i3 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹38,000","₹59,390",https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70
ASUS VivoBook 15 (2022) Core i3 10th Gen,4.3,"8,320",831,Intel Core i3 Processor (10th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹33,990","₹45,990",https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
HP 14s Intel Core i3 11th Gen,4.3,"2,942",261,Intel Core i3 Processor (11th Gen),8 GB DDR4,512 GB SSD,35.56 cm (14 inch),"₹40,990","₹49,508",https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/h/i/p/14s-dy5005tu-thin-and-light-laptop-hp-original-imagg4rc7n75zqkp.jpeg?q=70
APPLE 2020 Macbook Air M1,4.7,"8,273",749,Apple M1 Processor,8 GB DDR4,256 GB SSD,33.78 cm (13.3 inch),"₹88,990","₹99,900",https://rukminim1.flixcart.com/image/312/312/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70
MSI GF63 Thin Core i5 11th Gen,4.4,304,32,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹52,990","₹64,990",https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,"1,260",143,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹43,700","₹68,490",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/2/3/5/-original-imagg5hhjunrv4e4.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,631,50,Intel Core i3 Processor (11th Gen),8 GB DDR4,256 GB SSD,35.56 cm (14 inch),"₹36,990","₹60,890",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
acer Aspire Ryzen 5 Quad Core 3500U,4.2,262,27,AMD Ryzen 5 Quad Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹35,990","₹54,990",https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/r/n/g/aspire-3-notebook-acer-original-imagg5aabsmp5rmq.jpeg?q=70
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5,4.4,"1,744",223,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹57,990","₹72,990",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/3/l/-original-imagha3pvvc2xuz2.jpeg?q=70
Lenovo IdeaPad Gaming Core i5 11th Gen,4.3,"2,169",190,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹53,599","₹76,890",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7,4.5,304,40,AMD Ryzen 7 Octa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹74,990","₹1,02,090",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/u/h/h/15ach6-gaming-laptop-lenovo-original-imaggmxtjewnjpeq.jpeg?q=70
DELL Inspiron Athlon Dual Core 3050U,4.2,886,70,Processor: AMD Athlon Silver 3050U (2.30 GHz up to 3.20 GHz),& Storage: 8GB DDR4 & 256GB SSD,Software: Win 11 + Office H&S 2021,"Ports: 2 USB 3.2 Gen 1 ports, 1 USB 2.0 port, 1 Headset jack, 1 HDMI 1.4 port*, 1 SD 3.0 card slot","₹30,522","₹46,263",https://rukminim1.flixcart.com/image/312/312/l1dwknk0/computer/e/u/0/inspiron-3525-notebook-dell-original-imagcyrebyny33kd.jpeg?q=70
APPLE 2022 MacBook AIR M2,4.8,74,9,Apple M2 Processor,8 GB Unified Memory,256 GB SSD,34.54 cm (13.6 Inch),"₹1,12,990","₹1,19,900",https://rukminim1.flixcart.com/image/312/312/l4hcx3k0/computer/y/j/z/macbook-air-thin-and-light-laptop-apple-original-imagfdeqter4sj2j.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,822,69,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹47,127","₹55,899",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7,4.5,502,59,AMD Ryzen 7 Octa Core Processor,16 GB DDR4,512 GB SSD,39.62 cm (15.6 Inch),"₹66,990","₹82,990",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/p/z/c/-original-imaghr25cncfgpza.jpeg?q=70
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,4.3,294,30,Intel Core i5 Processor (11th Gen),8 GB DDR4,512 GB SSD,39.62 cm (15.6 inch),"₹66,490","₹93,690",https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
